row_id,energy
94993,1930.6364065129874
94994,1839.8279192931961
94995,1772.5691241790785
94996,1737.2600588876571
94997,1740.271624934774
94998,1785.782218293359
94999,1869.855690631438
95000,1975.753505950252
95001,2078.1547644537764
95002,2155.715967788424
95003,2202.42650238449
95004,2227.9767347430857
95005,2246.8188819507
95006,2265.872237582954
95007,2281.800978563071
95008,2289.2864884597316
95009,2290.8818094856188
95010,2297.5044522986827
95011,2318.0165464202582
95012,2347.5590247091054
95013,2366.3674597486956
95014,2351.56288244987
95015,2292.6562125075516
95016,2198.3329743783643
95017,2090.182912995475
95018,1990.3149675675904
95019,1913.5617168489566
95020,1868.4081552810892
95021,1861.310805507902
95022,1896.5335175035323
95023,1970.2242191015703
95024,2065.72596686092
95025,2157.7964991622334
95026,2225.1681349700416
95027,2261.903353509846
95028,2277.762290386898
95029,2287.2622978879817
95030,2297.381831687401
95031,2304.8376371995387
95032,2304.357271529353
95033,2298.533936294626
95034,2298.3191083841602
95035,2312.601847153778
95036,2336.542128922408
95037,2350.386623226315
95038,2331.2604090174173
95039,2268.6726282125655
95040,2171.301901631502
95041,2060.7258226595636
95042,1959.0354538894835
95043,1881.0396625327724
95044,1835.1944288053683
95045,1827.9227635804268
95046,1863.4510432119264
95047,1937.8859321606164
95048,2034.5257102406752
95049,2128.0807203440368
95050,2197.234733666426
95051,2236.0019110531866
95052,2254.094923270373
95053,2265.984348907161
95054,2278.602281778897
95055,2288.619857548082
95056,2290.7208261428045
95057,2287.457499844389
95058,2289.743815252117
95059,2306.43427808636
95060,2332.656795570213
95061,2348.6286056144704
95062,2331.448968740148
95063,2270.605989515507
95064,2174.7625471329497
95065,2065.485356382697
95066,1964.8585578084446
95067,1887.6874026715275
95068,1842.4274512613833
95069,1835.504561846926
95070,1871.1509472066177
95071,1945.4813876357182
95072,2041.8038981084653
95073,2134.840093086978
95074,2203.287013521397
95075,2241.1744523195002
95076,2258.2326823931417
95077,2268.950691129926
95078,2280.2785363598655
95079,2288.904283122144
95080,2289.527750850289
95081,2284.7167669611554
95082,2285.3999266973233
95083,2300.4445279830516
95084,2324.988348012438
95085,2339.2552722500195
95086,2320.348614777451
95087,2257.758869872881
95088,2160.1500311901177
95089,2049.0882063575564
95090,1946.6543981696955
95091,1867.6477454801698
95092,1820.5149223802505
95093,1811.6706084815387
95094,1845.3337693358003
95095,1917.6037458711983
95096,2011.7709220166298
95097,2102.5377311228663
95098,2168.581721975643
95099,2203.9140660208805
95100,2218.2477388602824
95101,2226.055451565571
95102,2234.2716169533073
95103,2239.569546296576
95104,2236.6361958720745
95105,2228.029512533937
95106,2224.6716273711513
95107,2235.4264542589704
95108,2255.4310110456126
95109,2264.9112655540157
95110,2240.9765094999443
95111,2173.128365714172
95112,2070.047715531246
95113,1953.3229759338453
95114,1845.0620666557268
95115,1760.0950861757592
95116,1706.9036751232384
95117,1691.9416167663276
95118,1719.4708789709036
95119,1785.6370110230273
95120,1873.779142164463
95121,1958.65086719738
95122,2018.983705115789
95123,2048.845868036504
95124,2058.009913594361
95125,2061.009340529264
95126,2064.8390957139986
95127,2066.231938072194
95128,2059.9330828586712
95129,2048.5575432650103
95130,2043.082682309488
95131,2052.424434485834
95132,2071.7671802817576
95133,2081.3788811783934
95134,2058.405655628555
95135,1992.3812793906432
95136,1892.0140590445371
95137,1778.9142203633933
95138,1675.204629996814
95139,1595.7226027491736
95140,1548.9490590530788
95141,1541.3292240226385
95142,1577.1085404029332
95143,1652.4076247110393
95144,1750.5319905275855
95145,1846.193346650627
95146,1918.0741172505207
95147,1960.1872712123925
95148,1982.2443664678015
95149,1998.7118442932658
95150,2016.511214501214
95151,2032.2958151371638
95152,2040.7266612287704
95153,2044.331153223444
95154,2053.996407017299
95155,2078.545552001349
95156,2113.0676293248166
